(20,20)
(19,20)
(19,19)
(19,18)
(19,17)
(19,16)
(18,16)
(17,16)
(16,16)
(15,16)
(15,17)
(14,17)
(14,18)
(14,18)
(14,18)
(13,18)
(13,17)
(13,16)
(13,15)
(12,15)
(11,15)
(10,15)
(9,15)
(9,15)
(10,14)
(10,13)
(10,12)
(9,12)
(8,12)
(7,12)
(7,13)
(7,13)
(8,13)
(9,13)
(10,13)
(11,13)
(12,14)
(12,14)
(13,14)
(14,15)
(14,16)
(13,16)
(13,17)
(13,18)
(13,19)
(13,20)
(13,20)
(14,20)
(15,20)
(16,19)
(16,18)
(15,18)
(15,19)
(15,19)
(16,19)
(17,19)
(18,19)
(19,20)
(19,20)
(20,19)
(20,18)
(20,17)
(20,16)
(20,15)
(20,14)
(19,14)
(18,14)
(17,14)
(16,14)
(15,14)
(14,14)
(14,13)
(13,13)
(12,13)
(11,13)
(10,13)
(9,13)
(8,13)
(7,13)
(6,13)
(5,13)
(4,13)
(3,13)
(2,13)
(1,13)
(1,14)
(1,14)
(2,13)
(2,12)
(2,11)
(2,10)
(2,9)
(2,8)
(2,7)
